"10001"	"Sag: Ich habe keine Reservation"	"10001.wav"	"no i don't have a reservation"	"no i don't have a reservation"	"correct"	"correct"
"10002"	"Frag: Zimmer für 4 Nächte"	"10002.wav"	"i would like a room for four nights"	"i would like a room for four nights"	"correct"	"correct"
"10003"	"Frag: Einzelzimmer"	"10003.wav"	"do you have a single room"	"do you have a single room"	"correct"	"correct"
"10004"	"Frag: Einzelzimmer"	"10004.wav"	"do you have a single room"	"do you have a single room"	"correct"	"correct"
"10006"	"Frag: Gibt es eine Hotelbar?"	"10006.wav"	"there a hotel bar"	"there a hotel*z bar"	"incorrect"	"correct"
"10007"	"Frag: Gibt es eine Hotelbar?"	"10007.wav"	"is there a hotel bar"	"is there a hotel*z bar"	"correct"	"correct"
"10008"	"Frag: Wo ist die Hotelbar?"	"10008.wav"	"where is the hotel bar"	"where is the hotel bar"	"correct"	"correct"
"10009"	"Sag: Das Zimmer ist dreckig"	"10009.wav"	"my room is dirty"	"my room is dirty"	"correct"	"correct"
"10011"	"Sag: Das Zimmer ist dreckig"	"10011.wav"	"the room is dirty"	"the room is dirty"	"correct"	"correct"
"10012"	"Frag: Haarföhn"	"10012.wav"	"have a hairdryer"	"have a hairdryer"	"incorrect"	"correct"
"10013"	"Sag: Ich habe keine Reservation"	"10013.wav"	"no i don't have a reservation"	"no i don't have a reservation"	"correct"	"correct"
"10014"	"Frag: Zimmer für 5 Nächte"	"10014.wav"	"do you have a room for five nights"	"do you have a room for five nights"	"correct"	"correct"
"10016"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"10016.wav"	"i would like to buy with the credit card"	"i would like to buy with the credit card"	"incorrect"	"correct"
"10017"	"Sag: Ich möchte mit Dollars bezahlen"	"10017.wav"	"i would like to buy with dollars"	"i would like to buy with dollars"	"incorrect"	"correct"
"10018"	"Frag: Gibt es ein Fitnessstudio?"	"10018.wav"	"there a fitness studio"	"there a fitness studio"	"incorrect"	"correct"
"10019"	"Frag: Gibt es ein Fitnessstudio?"	"10019.wav"	"have fitness studio"	"have fitness studio"	"incorrect"	"correct"
"10023"	"Frag: ein Ticket nach London"	"10023.wav"	"a ticket to london please"	"a ticket to london please"	"correct"	"correct"
"10024"	"Sag: Ich möchte am Mittwoch abreisen"	"10024.wav"	"i want to leave on wednesday"	"i want to leave on wednesday"	"correct"	"correct"
"10025"	"Sag: Ich heisse Jack"	"10025.wav"	"my name is jack"	"my name is jack"	"correct"	"correct"
"10026"	"Sag: Ich bin aus Portugal"	"10026.wav"	"i am from portugal"	"i am from portugal*z"	"correct"	"correct"
"10028"	"Frag: Twinzimmer"	"10028.wav"	"do you have a twin room"	"do you have a twin*z room"	"correct"	"correct"
"10029"	"Frag: Twinzimmer"	"10029.wav"	"a twin room please"	"a twin*z room please"	"correct"	"correct"
"10030"	"Sag: Ich möchte mit Visa bezahlen"	"10030.wav"	"i would like to buy with visa"	"i would like to buy with visa"	"incorrect"	"correct"
"10031"	"Sag: Ich möchte mit Schweizer Franken bezahlen"	"10031.wav"	"i would like to buy with swiss francs"	"i would like to buy with swiss francs"	"incorrect"	"correct"
"10034"	"Frag: Wo ist das Naturhistorische Museum?"	"10034.wav"	"where is the history museum"	"where*z is the history natury*z museum"	"incorrect"	"incorrect"
"10035"	"Frag: Wo ist das Naturhistorische Museum?"	"10035.wav"	"i am looking for the natural history museum"	"i am looking for the natural*z histo*a history museum"	"correct"	"correct"
"10036"	"Frag: Wo ist die Oxford Street?"	"10036.wav"	"where is the oxford street"	"where is the oxford*z street"	"incorrect"	"correct"
"10037"	"Frag: Wo ist die Oxford Street?"	"10037.wav"	"where is the oxford street"	"where is the oxford*z street"	"incorrect"	"correct"
"10039"	"Frag: Welcher Bus fährt dorthin?"	"10039.wav"	"bus goes there"	"bus goes there"	"incorrect"	"incorrect"
"10040"	"Frag: Welcher Bus fährt dorthin?"	"10040.wav"	"which bus goes there"	"which bus goes there"	"correct"	"correct"
"10041"	"Sag: Marble Arch ist gegenüber dem Hyde Park"	"10041.wav"	"marble arch is outside hyde park"	"marble*z arch is outside hyde park"	"incorrect"	"incorrect"
"10042"	"Sag: Marble Arch ist gegenüber dem Hyde Park"	"10042.wav"	"marble arch is hyde park"	"marble* ar*a gegenüber*v hyde*z park"	"incorrect"	"incorrect"
"10044"	"Frag: Zimmer für 5 Nächte"	"10044.wav"	"do you have a room for five nights"	"do you have a room for five nights"	"correct"	"correct"
"10045"	"Frag: Junior Suite"	"10045.wav"	"do you have a junior suite"	"do you have a junior suite"	"correct"	"correct"
"10046"	"Sag: Ich möchte mit Kreditkarte bezahlen"	"10046.wav"	"i would like to buy with the credit card"	"i would like to buy with the credit card"	"incorrect"	"correct"
